book;chapter;verse;text
ephesians;1;1;παυλος αποστολος ιησου χριστου δια θεληματος θεου τοις αγιοις τοις ουσιν εν εφεσω και πιστοις εν χριστω ιησου
ephesians;1;2;χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου
ephesians;1;3;ευλογητος ο θεος και πατηρ του κυριου ημων ιησου χριστου ο ευλογησας ημας εν παση ευλογια πνευματικη εν τοις επουρανιοις χριστω
ephesians;1;4;καθως εξελεξατο ημας εν αυτω προ καταβολης κοσμου ειναι ημας αγιους και αμωμους κατενωπιον αυτου εν αγαπη
ephesians;1;5;προορισας ημας εις υιοθεσιαν δια ιησου χριστου εις αυτον κατα την ευδοκιαν του θεληματος αυτου
ephesians;1;6;εις επαινον δοξης της χαριτος αυτου εν η εχαριτωσεν ημας εν τω ηγαπημενω
ephesians;1;7;εν ω εχομεν την απολυτρωσιν δια του αιματος αυτου την αφεσιν των παραπτωματων κατα τον πλουτον της χαριτος αυτου
ephesians;1;8;ης επερισσευσεν εις ημας εν παση σοφια και φρονησει
ephesians;1;9;γνωρισας ημιν το μυστηριον του θεληματος αυτου κατα την ευδοκιαν αυτου ην προεθετο εν αυτω
ephesians;1;10;εις οικονομιαν του πληρωματος των καιρων ανακεφαλαιωσασθαι τα παντα εν τω χριστω τα τε εν τοις ουρανοις και τα επι της γης
ephesians;1;11;εν αυτω εν ω και εκληρωθημεν προορισθεντες κατα προθεσιν του τα παντα ενεργουντος κατα την βουλην του θεληματος αυτου
ephesians;1;12;εις το ειναι ημας εις επαινον της δοξης αυτου τους προηλπικοτας εν τω χριστω
ephesians;1;13;εν ω και υμεις ακουσαντες τον λογον της αληθειας το ευαγγελιον της σωτηριας υμων εν ω και πιστευσαντες εσφραγισθητε τω πνευματι της επαγγελιας τω αγιω
ephesians;1;14;ος εστιν αρραβων της κληρονομιας ημων εις απολυτρωσιν της περιποιησεως εις επαινον της δοξης αυτου
ephesians;1;15;δια τουτο καγω ακουσας την καθ υμας πιστιν εν τω κυριω ιησου και την αγαπην την εις παντας τους αγιους
ephesians;1;16;ου παυομαι ευχαριστων υπερ υμων μνειαν υμων ποιουμενος επι των προσευχων μου
ephesians;1;17;ινα ο θεος του κυριου ημων ιησου χριστου ο πατηρ της δοξης δωη υμιν πνευμα σοφιας και αποκαλυψεως εν επιγνωσει αυτου
ephesians;1;18;πεφωτισμενους τους οφθαλμους της διανοιας υμων εις το ειδεναι υμας τις εστιν η ελπις της κλησεως αυτου και τις ο πλουτος της δοξης της κληρονομιας αυτου εν τοις αγιοις
ephesians;1;19;και τι το υπερβαλλον μεγεθος της δυναμεως αυτου εις ημας τους πιστευοντας κατα την ενεργειαν του κρατους της ισχυος αυτου
ephesians;1;20;ην ενηργησεν εν τω χριστω εγειρας αυτον εκ νεκρων και εκαθισεν εν δεξια αυτου εν τοις επουρανιοις
ephesians;1;21;υπερανω πασης αρχης και εξουσιας και δυναμεως και κυριοτητος και παντος ονοματος ονομαζομενου ου μονον εν τω αιωνι τουτω αλλα και εν τω μελλοντι
ephesians;1;22;και παντα υπεταξεν υπο τους ποδας αυτου και αυτον εδωκεν κεφαλην υπερ παντα τη εκκλησια
ephesians;1;23;ητις εστιν το σωμα αυτου το πληρωμα του παντα εν πασιν πληρουμενου
ephesians;2;1;και υμας οντας νεκρους τοις παραπτωμασιν και ταις αμαρτιαις
ephesians;2;2;εν αις ποτε περιεπατησατε κατα τον αιωνα του κοσμου τουτου κατα τον αρχοντα της εξουσιας του αερος του πνευματος του νυν ενεργουντος εν τοις υιοις της απειθειας
ephesians;2;3;εν οις και ημεις παντες ανεστραφημεν ποτε εν ταις επιθυμιαις της σαρκος ημων ποιουντες τα θεληματα της σαρκος και των διανοιων και ημεν τεκνα φυσει οργης ως και οι λοιποι
ephesians;2;4;ο δε θεος πλουσιος ων εν ελεει δια την πολλην αγαπην αυτου ην ηγαπησεν ημας
ephesians;2;5;και οντας ημας νεκρους τοις παραπτωμασιν συνεζωοποιησεν τω χριστω χαριτι εστε σεσωσμενοι
ephesians;2;6;και συνηγειρεν και συνεκαθισεν εν τοις επουρανιοις εν χριστω ιησου
ephesians;2;7;ινα ενδειξηται εν τοις αιωσιν τοις επερχομενοις τον υπερβαλλοντα πλουτον της χαριτος αυτου εν χρηστοτητι εφ ημας εν χριστω ιησου
ephesians;2;8;τη γαρ χαριτι εστε σεσωσμενοι δια της πιστεως και τουτο ουκ εξ υμων θεου το δωρον
ephesians;2;9;ουκ εξ εργων ινα μη τις καυχησηται
ephesians;2;10;αυτου γαρ εσμεν ποιημα κτισθεντες εν χριστω ιησου επι εργοις αγαθοις οις προητοιμασεν ο θεος ινα εν αυτοις περιπατησωμεν
ephesians;2;11;διο μνημονευετε οτι υμεις ποτε τα εθνη εν σαρκι οι λεγομενοι ακροβυστια υπο της λεγομενης περιτομης εν σαρκι χειροποιητου
ephesians;2;12;οτι ητε εν τω καιρω εκεινω χωρις χριστου απηλλοτριωμενοι της πολιτειας του ισραηλ και ξενοι των διαθηκων της επαγγελιας ελπιδα μη εχοντες και αθεοι εν τω κοσμω
ephesians;2;13;νυνι δε εν χριστω ιησου υμεις οι ποτε οντες μακραν εγγυς εγενηθητε εν τω αιματι του χριστου
ephesians;2;14;αυτος γαρ εστιν η ειρηνη ημων ο ποιησας τα αμφοτερα εν και το μεσοτοιχον του φραγμου λυσας
ephesians;2;15;την εχθραν εν τη σαρκι αυτου τον νομον των εντολων εν δογμασιν καταργησας ινα τους δυο κτιση εν εαυτω εις ενα καινον ανθρωπον ποιων ειρηνην
ephesians;2;16;και αποκαταλλαξη τους αμφοτερους εν ενι σωματι τω θεω δια του σταυρου αποκτεινας την εχθραν εν αυτω
ephesians;2;17;και ελθων ευηγγελισατο ειρηνην υμιν τοις μακραν και τοις εγγυς
ephesians;2;18;οτι δι αυτου εχομεν την προσαγωγην οι αμφοτεροι εν ενι πνευματι προς τον πατερα
ephesians;2;19;αρα ουν ουκετι εστε ξενοι και παροικοι αλλα συμπολιται των αγιων και οικειοι του θεου
ephesians;2;20;εποικοδομηθεντες επι τω θεμελιω των αποστολων και προφητων οντος ακρογωνιαιου αυτου ιησου χριστου
ephesians;2;21;εν ω πασα η οικοδομη συναρμολογουμενη αυξει εις ναον αγιον εν κυριω
ephesians;2;22;εν ω και υμεις συνοικοδομεισθε εις κατοικητηριον του θεου εν πνευματι
ephesians;3;1;τουτου χαριν εγω παυλος ο δεσμιος του χριστου ιησου υπερ υμων των εθνων
ephesians;3;2;ειγε ηκουσατε την οικονομιαν της χαριτος του θεου της δοθεισης μοι εις υμας
ephesians;3;3;οτι κατα αποκαλυψιν εγνωρισεν μοι το μυστηριον καθως προεγραψα εν ολιγω
ephesians;3;4;προς ο δυνασθε αναγινωσκοντες νοησαι την συνεσιν μου εν τω μυστηριω του χριστου
ephesians;3;5;ο εν ετεραις γενεαις ουκ εγνωρισθη τοις υιοις των ανθρωπων ως νυν απεκαλυφθη τοις αγιοις αποστολοις αυτου και προφηταις εν πνευματι
ephesians;3;6;ειναι τα εθνη συγκληρονομα και συσσωμα και συμμετοχα της επαγγελιας αυτου εν τω χριστω δια του ευαγγελιου
ephesians;3;7;ου εγενομην διακονος κατα την δωρεαν της χαριτος του θεου την δοθεισαν μοι κατα την ενεργειαν της δυναμεως αυτου
ephesians;3;8;εμοι τω ελαχιστοτερω παντων των αγιων εδοθη η χαρις αυτη εν τοις εθνεσιν ευαγγελισασθαι τον ανεξιχνιαστον πλουτον του χριστου
ephesians;3;9;και φωτισαι παντας τις η κοινωνια του μυστηριου του αποκεκρυμμενου απο των αιωνων εν τω θεω τω τα παντα κτισαντι δια ιησου χριστου
ephesians;3;10;ινα γνωρισθη νυν ταις αρχαις και ταις εξουσιαις εν τοις επουρανιοις δια της εκκλησιας η πολυποικιλος σοφια του θεου
ephesians;3;11;κατα προθεσιν των αιωνων ην εποιησεν εν χριστω ιησου τω κυριω ημων
ephesians;3;12;εν ω εχομεν την παρρησιαν και την προσαγωγην εν πεποιθησει δια της πιστεως αυτου
ephesians;3;13;διο αιτουμαι μη εκκακειν εν ταις θλιψεσιν μου υπερ υμων ητις εστιν δοξα υμων
ephesians;3;14;τουτου χαριν καμπτω τα γονατα μου προς τον πατερα του κυριου ημων ιησου χριστου
ephesians;3;15;εξ ου πασα πατρια εν ουρανοις και επι γης ονομαζεται
ephesians;3;16;ινα δωη υμιν κατα τον πλουτον της δοξης αυτου δυναμει κραταιωθηναι δια του πνευματος αυτου εις τον εσω ανθρωπον
